test_case,sampled_agents,replicate,num_agents,map_file,completed,steps,max_steps,error
Boston_0_256-even-1_n10_run02,10,2,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n10_run03,10,3,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n10_run04,10,4,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n10_run05,10,5,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n10_run06,10,6,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n10_run07,10,7,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n10_run08,10,8,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n10_run09,10,9,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n10_run10,10,10,10,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run01,15,1,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run02,15,2,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run03,15,3,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run04,15,4,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run05,15,5,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run06,15,6,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run07,15,7,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run08,15,8,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run09,15,9,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n15_run10,15,10,15,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run01,20,1,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run02,20,2,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run03,20,3,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run04,20,4,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run05,20,5,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run06,20,6,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run07,20,7,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run08,20,8,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run09,20,9,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n20_run10,20,10,20,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run01,25,1,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run02,25,2,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run03,25,3,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run04,25,4,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run05,25,5,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run06,25,6,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run07,25,7,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run08,25,8,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run09,25,9,25,Boston_0_256.map,False,5000,5000,
Boston_0_256-even-1_n25_run10,25,10,25,Boston_0_256.map,False,5000,5000,
brc202d-even-1_n5_run01,5,1,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run02,5,2,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run03,5,3,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run04,5,4,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run05,5,5,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run06,5,6,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run07,5,7,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run08,5,8,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run09,5,9,5,brc202d.map,False,5000,5000,
brc202d-even-1_n5_run10,5,10,5,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run01,10,1,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run02,10,2,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run03,10,3,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run04,10,4,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run05,10,5,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run06,10,6,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run07,10,7,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run08,10,8,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run09,10,9,10,brc202d.map,False,5000,5000,
brc202d-even-1_n10_run10,10,10,10,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run01,15,1,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run02,15,2,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run03,15,3,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run04,15,4,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run05,15,5,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run06,15,6,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run07,15,7,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run08,15,8,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run09,15,9,15,brc202d.map,False,5000,5000,
brc202d-even-1_n15_run10,15,10,15,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run01,20,1,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run02,20,2,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run03,20,3,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run04,20,4,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run05,20,5,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run06,20,6,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run07,20,7,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run08,20,8,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run09,20,9,20,brc202d.map,False,5000,5000,
brc202d-even-1_n20_run10,20,10,20,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run01,25,1,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run02,25,2,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run03,25,3,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run04,25,4,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run05,25,5,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run06,25,6,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run07,25,7,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run08,25,8,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run09,25,9,25,brc202d.map,False,5000,5000,
brc202d-even-1_n25_run10,25,10,25,brc202d.map,False,5000,5000,
den312d-even-1_n5_run01,5,1,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run02,5,2,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run03,5,3,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run04,5,4,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run05,5,5,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run06,5,6,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run07,5,7,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run08,5,8,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run09,5,9,5,den312d.map,False,5000,5000,
den312d-even-1_n5_run10,5,10,5,den312d.map,False,5000,5000,
den312d-even-1_n10_run01,10,1,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run02,10,2,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run03,10,3,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run04,10,4,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run05,10,5,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run06,10,6,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run07,10,7,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run08,10,8,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run09,10,9,10,den312d.map,False,5000,5000,
den312d-even-1_n10_run10,10,10,10,den312d.map,False,5000,5000,
den312d-even-1_n15_run01,15,1,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run02,15,2,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run03,15,3,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run04,15,4,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run05,15,5,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run06,15,6,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run07,15,7,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run08,15,8,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run09,15,9,15,den312d.map,False,5000,5000,
den312d-even-1_n15_run10,15,10,15,den312d.map,False,5000,5000,
den312d-even-1_n20_run01,20,1,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run02,20,2,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run03,20,3,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run04,20,4,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run05,20,5,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run06,20,6,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run07,20,7,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run08,20,8,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run09,20,9,20,den312d.map,False,5000,5000,
den312d-even-1_n20_run10,20,10,20,den312d.map,False,5000,5000,
den312d-even-1_n25_run01,25,1,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run02,25,2,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run03,25,3,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run04,25,4,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run05,25,5,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run06,25,6,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run07,25,7,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run08,25,8,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run09,25,9,25,den312d.map,False,5000,5000,
den312d-even-1_n25_run10,25,10,25,den312d.map,False,5000,5000,
den520d-even-1_n5_run01,5,1,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run02,5,2,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run03,5,3,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run04,5,4,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run05,5,5,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run06,5,6,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run07,5,7,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run08,5,8,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run09,5,9,5,den520d.map,False,5000,5000,
den520d-even-1_n5_run10,5,10,5,den520d.map,False,5000,5000,
den520d-even-1_n10_run01,10,1,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run02,10,2,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run03,10,3,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run04,10,4,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run05,10,5,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run06,10,6,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run07,10,7,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run08,10,8,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run09,10,9,10,den520d.map,False,5000,5000,
den520d-even-1_n10_run10,10,10,10,den520d.map,False,5000,5000,
den520d-even-1_n15_run01,15,1,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run02,15,2,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run03,15,3,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run04,15,4,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run05,15,5,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run06,15,6,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run07,15,7,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run08,15,8,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run09,15,9,15,den520d.map,False,5000,5000,
den520d-even-1_n15_run10,15,10,15,den520d.map,False,5000,5000,
den520d-even-1_n20_run01,20,1,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run02,20,2,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run03,20,3,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run04,20,4,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run05,20,5,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run06,20,6,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run07,20,7,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run08,20,8,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run09,20,9,20,den520d.map,False,5000,5000,
den520d-even-1_n20_run10,20,10,20,den520d.map,False,5000,5000,
den520d-even-1_n25_run01,25,1,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run02,25,2,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run03,25,3,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run04,25,4,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run05,25,5,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run06,25,6,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run07,25,7,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run08,25,8,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run09,25,9,25,den520d.map,False,5000,5000,
den520d-even-1_n25_run10,25,10,25,den520d.map,False,5000,5000,
empty-16-16-even-1_n5_run01,5,1,5,empty-16-16.map,True,45,5000,
empty-16-16-even-1_n5_run02,5,2,5,empty-16-16.map,True,29,5000,
empty-16-16-even-1_n5_run03,5,3,5,empty-16-16.map,True,55,5000,
empty-16-16-even-1_n5_run04,5,4,5,empty-16-16.map,True,69,5000,
empty-16-16-even-1_n5_run05,5,5,5,empty-16-16.map,True,20,5000,
empty-16-16-even-1_n5_run06,5,6,5,empty-16-16.map,True,20,5000,
empty-16-16-even-1_n5_run07,5,7,5,empty-16-16.map,True,63,5000,
empty-16-16-even-1_n5_run08,5,8,5,empty-16-16.map,True,96,5000,
empty-16-16-even-1_n5_run09,5,9,5,empty-16-16.map,True,43,5000,
empty-16-16-even-1_n5_run10,5,10,5,empty-16-16.map,True,45,5000,
empty-16-16-even-1_n10_run01,10,1,10,empty-16-16.map,True,59,5000,
empty-16-16-even-1_n10_run02,10,2,10,empty-16-16.map,True,98,5000,
empty-16-16-even-1_n10_run03,10,3,10,empty-16-16.map,True,62,5000,
empty-16-16-even-1_n10_run04,10,4,10,empty-16-16.map,False,5000,5000,
empty-16-16-even-1_n10_run05,10,5,10,empty-16-16.map,True,75,5000,
empty-16-16-even-1_n10_run06,10,6,10,empty-16-16.map,True,67,5000,
empty-16-16-even-1_n10_run07,10,7,10,empty-16-16.map,True,96,5000,
empty-16-16-even-1_n10_run08,10,8,10,empty-16-16.map,True,68,5000,
empty-16-16-even-1_n10_run09,10,9,10,empty-16-16.map,True,47,5000,
empty-16-16-even-1_n10_run10,10,10,10,empty-16-16.map,True,90,5000,
empty-16-16-even-1_n15_run01,15,1,15,empty-16-16.map,False,5000,5000,
empty-16-16-even-1_n15_run02,15,2,15,empty-16-16.map,True,72,5000,
empty-16-16-even-1_n15_run03,15,3,15,empty-16-16.map,True,448,5000,
empty-16-16-even-1_n15_run04,15,4,15,empty-16-16.map,True,73,5000,
empty-16-16-even-1_n15_run05,15,5,15,empty-16-16.map,True,110,5000,
empty-16-16-even-1_n15_run06,15,6,15,empty-16-16.map,True,60,5000,
empty-16-16-even-1_n15_run07,15,7,15,empty-16-16.map,True,51,5000,
empty-16-16-even-1_n15_run08,15,8,15,empty-16-16.map,True,93,5000,
empty-16-16-even-1_n15_run09,15,9,15,empty-16-16.map,False,5000,5000,
empty-16-16-even-1_n15_run10,15,10,15,empty-16-16.map,True,30,5000,
empty-16-16-even-1_n20_run01,20,1,20,empty-16-16.map,True,87,5000,
empty-16-16-even-1_n20_run02,20,2,20,empty-16-16.map,True,108,5000,
empty-16-16-even-1_n20_run03,20,3,20,empty-16-16.map,True,73,5000,
empty-16-16-even-1_n20_run04,20,4,20,empty-16-16.map,True,75,5000,
empty-16-16-even-1_n20_run05,20,5,20,empty-16-16.map,False,5000,5000,
empty-16-16-even-1_n20_run06,20,6,20,empty-16-16.map,True,63,5000,
empty-16-16-even-1_n20_run07,20,7,20,empty-16-16.map,True,120,5000,
empty-16-16-even-1_n20_run08,20,8,20,empty-16-16.map,True,174,5000,
empty-16-16-even-1_n20_run09,20,9,20,empty-16-16.map,True,83,5000,
empty-16-16-even-1_n20_run10,20,10,20,empty-16-16.map,True,98,5000,
empty-16-16-even-1_n25_run01,25,1,25,empty-16-16.map,True,96,5000,
empty-16-16-even-1_n25_run02,25,2,25,empty-16-16.map,True,80,5000,
empty-16-16-even-1_n25_run03,25,3,25,empty-16-16.map,True,109,5000,
empty-16-16-even-1_n25_run04,25,4,25,empty-16-16.map,True,61,5000,
empty-16-16-even-1_n25_run05,25,5,25,empty-16-16.map,True,179,5000,
empty-16-16-even-1_n25_run06,25,6,25,empty-16-16.map,True,73,5000,
empty-16-16-even-1_n25_run07,25,7,25,empty-16-16.map,True,93,5000,
empty-16-16-even-1_n25_run08,25,8,25,empty-16-16.map,True,126,5000,
empty-16-16-even-1_n25_run09,25,9,25,empty-16-16.map,True,100,5000,
empty-16-16-even-1_n25_run10,25,10,25,empty-16-16.map,True,140,5000,
empty-32-32-even-1_n5_run01,5,1,5,empty-32-32.map,True,4420,5000,
empty-32-32-even-1_n5_run02,5,2,5,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n5_run03,5,3,5,empty-32-32.map,False,5000,5000,
empty-32-32-even-1_n5_run04,5,4,5,empty-32-32.map,True,413,5000,
